timestamp,NW_Hydro_for_CAISO
1/1/1998, 0.82056 
2/1/1998, 0.81900 
3/1/1998, 0.83899 
4/1/1998, 0.72982 
5/1/1998, 0.93267 
6/1/1998, 0.93139 
7/1/1998, 0.75441 
8/1/1998, 0.64220 
9/1/1998, 0.58742 
10/1/1998, 0.60508 
11/1/1998, 0.64230 
12/1/1998, 0.79411 
1/1/1999, 0.93278 
2/1/1999, 0.90700 
3/1/1999, 0.94715 
4/1/1999, 0.90795 
5/1/1999, 0.92323 
6/1/1999, 0.97957 
7/1/1999, 0.86482 
8/1/1999, 0.76185 
9/1/1999, 0.66860 
10/1/1999, 0.68315 
11/1/1999, 0.76339 
12/1/1999, 0.92789 
1/1/2000, 0.93278 
2/1/2000, 0.82421 
3/1/2000, 0.85251 
4/1/2000, 0.93057 
5/1/2000, 0.88375 
6/1/2000, 0.78813 
7/1/2000, 0.68957 
8/1/2000, 0.60836 
9/1/2000, 0.56607 
10/1/2000, 0.62204 
11/1/2000, 0.66863 
12/1/2000, 0.71837 
1/1/2001, 0.66694 
2/1/2001, 0.60335 
3/1/2001, 0.64367 
4/1/2001, 0.57856 
5/1/2001, 0.64710 
6/1/2001, 0.62696 
7/1/2001, 0.51022 
8/1/2001, 0.53334 
9/1/2001, 0.48957 
10/1/2001, 0.52720 
11/1/2001, 0.58224 
12/1/2001, 0.65938 
1/1/2002, 0.75250 
2/1/2002, 0.70881 
3/1/2002, 0.67250 
4/1/2002, 0.78657 
5/1/2002, 0.84622 
6/1/2002, 0.92719 
7/1/2002, 0.81325 
8/1/2002, 0.64565 
9/1/2002, 0.54952 
10/1/2002, 0.59420 
11/1/2002, 0.63664 
12/1/2002, 0.66355 
1/1/2003, 0.65121 
2/1/2003, 0.63166 
3/1/2003, 0.74480 
4/1/2003, 0.80101 
5/1/2003, 0.83474 
6/1/2003, 0.84192 
7/1/2003, 0.63826 
8/1/2003, 0.59752 
9/1/2003, 0.52222 
10/1/2003, 0.59204 
11/1/2003, 0.64835 
12/1/2003, 0.74057 
1/1/2004, 0.72071 
2/1/2004, 0.66261 
3/1/2004, 0.67866 
4/1/2004, 0.66186 
5/1/2004, 0.77288 
6/1/2004, 0.82305 
7/1/2004, 0.64712 
8/1/2004, 0.61057 
9/1/2004, 0.60393 
10/1/2004, 0.62758 
11/1/2004, 0.67380 
12/1/2004, 0.79156 
1/1/2005, 0.74288 
2/1/2005, 0.67953 
3/1/2005, 0.66868 
4/1/2005, 0.64019 
5/1/2005, 0.84585 
6/1/2005, 0.78410 
7/1/2005, 0.68594 
8/1/2005, 0.60117 
9/1/2005, 0.52851 
10/1/2005, 0.60816 
11/1/2005, 0.67681 
12/1/2005, 0.70825 
1/1/2006, 0.83794 
2/1/2006, 0.79478 
3/1/2006, 0.77936 
4/1/2006, 0.93107 
5/1/2006, 0.93278 
6/1/2006, 0.93278 
7/1/2006, 0.72622 
8/1/2006, 0.60577 
9/1/2006, 0.53814 
10/1/2006, 0.57156 
11/1/2006, 0.63750 
12/1/2006, 0.73883 
1/1/2007, 0.84144 
2/1/2007, 0.66722 
3/1/2007, 0.88034 
4/1/2007, 0.86492 
5/1/2007, 0.92943 
6/1/2007, 0.82009 
