attribute,timestamp,value,scenario
annual_price,2025-01-01,1.0,Base
annual_price,2026-01-01,1.0,Base
annual_price,2027-01-01,1.0,Base
annual_price,2028-01-01,1.0,Base
annual_price,2029-01-01,1.0,Base
annual_price,2030-01-01,1.0,Base
annual_price,2031-01-01,1.0,Base
annual_price,2032-01-01,1.0,Base
annual_price,2033-01-01,1.0,Base
annual_price,2034-01-01,1.0,Base
annual_price,2035-01-01,1.0,Base
annual_price,2036-01-01,1.0,Base
annual_price,2037-01-01,1.0,Base
annual_price,2038-01-01,1.0,Base
annual_price,2039-01-01,1.0,Base
annual_price,2040-01-01,1.0,Base
annual_price,2041-01-01,1.0,Base
annual_price,2042-01-01,1.0,Base
annual_price,2043-01-01,1.0,Base
annual_price,2044-01-01,1.0,Base
annual_price,2045-01-01,1.0,Base
annual_price,2046-01-01,1.0,Base
annual_price,2047-01-01,1.0,Base
annual_price,2048-01-01,1.0,Base
annual_price,2049-01-01,1.0,Base
annual_price,2050-01-01,1.0,Base
monthly_price_multiplier,1900-01-01,1.0,Base
monthly_price_multiplier,1900-02-01,1.0,Base
monthly_price_multiplier,1900-03-01,1.0,Base
monthly_price_multiplier,1900-04-01,1.0,Base
monthly_price_multiplier,1900-05-01,1.0,Base
monthly_price_multiplier,1900-06-01,1.0,Base
monthly_price_multiplier,1900-07-01,1.0,Base
monthly_price_multiplier,1900-08-01,1.0,Base
monthly_price_multiplier,1900-09-01,1.0,Base
monthly_price_multiplier,1900-10-01,1.0,Base
monthly_price_multiplier,1900-11-01,1.0,Base
monthly_price_multiplier,1900-12-01,1.0,Base
