component_from,component_to,attribute,timestamp,value,scenario
Existing_Solar,RPS,multiplier,2025-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2025-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2025-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2025-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2025-01-01,1.0,Base
New_Solar,RPS,multiplier,2025-01-01,1.0,Base
New_Wind,RPS,multiplier,2025-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2025-01-01,1.0,Base
New_CCGT,RPS,multiplier,2025-01-01,1.0,Base
Existing_Solar,RPS,multiplier,2026-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2026-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2026-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2026-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2026-01-01,1.0,Base
New_Solar,RPS,multiplier,2026-01-01,1.0,Base
New_Wind,RPS,multiplier,2026-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2026-01-01,1.0,Base
New_CCGT,RPS,multiplier,2026-01-01,1.0,Base
Existing_Solar,RPS,multiplier,2027-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2027-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2027-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2027-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2027-01-01,1.0,Base
New_Solar,RPS,multiplier,2027-01-01,1.0,Base
New_Wind,RPS,multiplier,2027-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2027-01-01,1.0,Base
New_CCGT,RPS,multiplier,2027-01-01,1.0,Base
Existing_Solar,RPS,multiplier,2028-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2028-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2028-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2028-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2028-01-01,1.0,Base
New_Solar,RPS,multiplier,2028-01-01,1.0,Base
New_Wind,RPS,multiplier,2028-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2028-01-01,1.0,Base
New_CCGT,RPS,multiplier,2028-01-01,1.0,Base
Existing_Solar,RPS,multiplier,2029-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2029-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2029-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2029-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2029-01-01,1.0,Base
New_Solar,RPS,multiplier,2029-01-01,1.0,Base
New_Wind,RPS,multiplier,2029-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2029-01-01,1.0,Base
New_CCGT,RPS,multiplier,2029-01-01,1.0,Base
Existing_Solar,RPS,multiplier,2030-01-01,1.0,Base
Existing_Wind,RPS,multiplier,2030-01-01,1.0,Base
Existing_Hydro,RPS,multiplier,2030-01-01,1.0,Base
Existing_Geothermal,RPS,multiplier,2030-01-01,1.0,Base
Existing_CCGT,RPS,multiplier,2030-01-01,1.0,Base
New_Solar,RPS,multiplier,2030-01-01,1.0,Base
New_Wind,RPS,multiplier,2030-01-01,1.0,Base
New_Paired_Solar,RPS,multiplier,2030-01-01,1.0,Base
New_CCGT,RPS,multiplier,2030-01-01,1.0,Base
