component_from,component_to,attribute,timestamp,value,scenario
Existing_Hydro,PRM,multiplier,2025-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2025-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2025-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2025-01-01,0.95,Base
New_CCGT,PRM,multiplier,2025-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2026-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2026-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2026-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2026-01-01,0.95,Base
New_CCGT,PRM,multiplier,2026-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2027-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2027-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2027-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2027-01-01,0.95,Base
New_CCGT,PRM,multiplier,2027-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2028-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2028-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2028-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2028-01-01,0.95,Base
New_CCGT,PRM,multiplier,2028-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2029-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2029-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2029-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2029-01-01,0.95,Base
New_CCGT,PRM,multiplier,2029-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2030-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2030-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2030-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2030-01-01,0.95,Base
New_CCGT,PRM,multiplier,2030-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2031-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2031-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2031-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2031-01-01,0.95,Base
New_CCGT,PRM,multiplier,2031-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2032-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2032-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2032-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2032-01-01,0.95,Base
New_CCGT,PRM,multiplier,2032-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2033-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2033-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2033-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2033-01-01,0.95,Base
New_CCGT,PRM,multiplier,2033-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2034-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2034-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2034-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2034-01-01,0.95,Base
New_CCGT,PRM,multiplier,2034-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2035-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2035-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2035-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2035-01-01,0.95,Base
New_CCGT,PRM,multiplier,2035-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2036-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2036-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2036-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2036-01-01,0.95,Base
New_CCGT,PRM,multiplier,2036-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2037-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2037-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2037-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2037-01-01,0.95,Base
New_CCGT,PRM,multiplier,2037-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2038-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2038-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2038-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2038-01-01,0.95,Base
New_CCGT,PRM,multiplier,2038-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2039-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2039-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2039-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2039-01-01,0.95,Base
New_CCGT,PRM,multiplier,2039-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2040-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2040-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2040-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2040-01-01,0.95,Base
New_CCGT,PRM,multiplier,2040-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2041-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2041-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2041-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2041-01-01,0.95,Base
New_CCGT,PRM,multiplier,2041-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2042-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2042-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2042-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2042-01-01,0.95,Base
New_CCGT,PRM,multiplier,2042-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2043-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2043-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2043-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2043-01-01,0.95,Base
New_CCGT,PRM,multiplier,2043-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2044-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2044-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2044-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2044-01-01,0.95,Base
New_CCGT,PRM,multiplier,2044-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2045-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2045-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2045-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2045-01-01,0.95,Base
New_CCGT,PRM,multiplier,2045-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2046-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2046-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2046-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2046-01-01,0.95,Base
New_CCGT,PRM,multiplier,2046-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2047-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2047-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2047-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2047-01-01,0.95,Base
New_CCGT,PRM,multiplier,2047-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2048-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2048-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2048-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2048-01-01,0.95,Base
New_CCGT,PRM,multiplier,2048-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2049-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2049-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2049-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2049-01-01,0.95,Base
New_CCGT,PRM,multiplier,2049-01-01,0.95,Base
Existing_Hydro,PRM,multiplier,2050-01-01,0.8,Base
Existing_Geothermal,PRM,multiplier,2050-01-01,0.9,Base
Existing_Nuclear,PRM,multiplier,2050-01-01,0.9,Base
Existing_CCGT,PRM,multiplier,2050-01-01,0.95,Base
New_CCGT,PRM,multiplier,2050-01-01,0.95,Base
Existing_Solar,PRM,fully_deliverable,,True,Base
Existing_Battery,PRM,fully_deliverable,,True,Base
Existing_Wind,PRM,fully_deliverable,,True,Base
Existing_Hydro,PRM,fully_deliverable,,True,Base
Existing_Geothermal,PRM,fully_deliverable,,True,Base
Existing_Nuclear,PRM,fully_deliverable,,True,Base
Existing_CCGT,PRM,fully_deliverable,,False,Base
New_Solar,PRM,fully_deliverable,,False,Base
New_Wind,PRM,fully_deliverable,,False,Base
New_Paired_Solar,PRM,fully_deliverable,,False,Base
New_Paired_Storage,PRM,fully_deliverable,,False,Base
New_Standalone_Storage,PRM,fully_deliverable,,False,Base
New_CCGT,PRM,fully_deliverable,,False,Base
