component_from,component_to,attribute,timestamp,value,scenario
Existing_Solar,Downward_Reg,max_fraction_of_capacity,,0.0,Base
Existing_Battery,Downward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Wind,Downward_Reg,max_fraction_of_capacity,,0.0,Base
Existing_Geothermal,Downward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Nuclear,Downward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_CCGT,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_Solar,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_Wind,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_Paired_Solar,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_Paired_Storage,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_Standalone_Storage,Downward_Reg,max_fraction_of_capacity,,1.0,Base
New_CCGT,Downward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Solar,Downward_Reg,incremental_requirement_hourly_scalar,,profiles/reserves/solar_reg_down_req.csv,Base
Existing_Wind,Downward_Reg,incremental_requirement_hourly_scalar,,profiles/reserves/wind_reg_down_req.csv,Base
Existing_Solar,Upward_Reg,max_fraction_of_capacity,,0.0,Base
Existing_Battery,Upward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Wind,Upward_Reg,max_fraction_of_capacity,,0.0,Base
Existing_Geothermal,Upward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Nuclear,Upward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_CCGT,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_Solar,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_Wind,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_Paired_Solar,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_Paired_Storage,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_Standalone_Storage,Upward_Reg,max_fraction_of_capacity,,1.0,Base
New_CCGT,Upward_Reg,max_fraction_of_capacity,,1.0,Base
Existing_Solar,Upward_Reg,incremental_requirement_hourly_scalar,,profiles/reserves/solar_reg_up_req.csv,Base
Existing_Wind,Upward_Reg,incremental_requirement_hourly_scalar,,profiles/reserves/wind_reg_up_req.csv,Base
