attribute,timestamp,value,scenario
profile,,profiles/loads/zone_a_baseline.csv,Base
scale_by_energy,,True,Base
annual_energy_forecast,2025-01-01,10000000.0,Base
annual_energy_forecast,2026-01-01,10100000.0,Base
annual_energy_forecast,2027-01-01,10200000.0,Base
annual_energy_forecast,2028-01-01,10300000.0,Base
annual_energy_forecast,2029-01-01,10400000.0,Base
annual_energy_forecast,2030-01-01,10500000.0,Base
annual_energy_forecast,2031-01-01,10600000.0,Base
annual_energy_forecast,2032-01-01,10700000.0,Base
annual_energy_forecast,2033-01-01,10800000.0,Base
annual_energy_forecast,2034-01-01,10900000.0,Base
annual_energy_forecast,2035-01-01,11000000.0,Base
annual_energy_forecast,2036-01-01,11100000.0,Base
annual_energy_forecast,2037-01-01,11200000.0,Base
annual_energy_forecast,2038-01-01,11300000.0,Base
annual_energy_forecast,2039-01-01,11400000.0,Base
annual_energy_forecast,2040-01-01,11500000.0,Base
annual_energy_forecast,2041-01-01,11600000.0,Base
annual_energy_forecast,2042-01-01,11700000.0,Base
annual_energy_forecast,2043-01-01,11800000.0,Base
annual_energy_forecast,2044-01-01,11900000.0,Base
annual_energy_forecast,2045-01-01,12000000.0,Base
annual_energy_forecast,2046-01-01,12100000.0,Base
annual_energy_forecast,2047-01-01,12200000.0,Base
annual_energy_forecast,2048-01-01,12300000.0,Base
annual_energy_forecast,2049-01-01,12400000.0,Base
annual_energy_forecast,2050-01-01,12500000.0,Base
scale_by_capacity,,False,Base
td_losses_adjustment,2025-01-01,0.95,Base
td_losses_adjustment,2026-01-01,0.95,Base
td_losses_adjustment,2027-01-01,0.95,Base
td_losses_adjustment,2028-01-01,0.95,Base
td_losses_adjustment,2029-01-01,0.95,Base
td_losses_adjustment,2030-01-01,0.95,Base
td_losses_adjustment,2031-01-01,0.95,Base
td_losses_adjustment,2032-01-01,0.95,Base
td_losses_adjustment,2033-01-01,0.95,Base
td_losses_adjustment,2034-01-01,0.95,Base
td_losses_adjustment,2035-01-01,0.95,Base
td_losses_adjustment,2036-01-01,0.95,Base
td_losses_adjustment,2037-01-01,0.95,Base
td_losses_adjustment,2038-01-01,0.95,Base
td_losses_adjustment,2039-01-01,0.95,Base
td_losses_adjustment,2040-01-01,0.95,Base
td_losses_adjustment,2041-01-01,0.95,Base
td_losses_adjustment,2042-01-01,0.95,Base
td_losses_adjustment,2043-01-01,0.95,Base
td_losses_adjustment,2044-01-01,0.95,Base
td_losses_adjustment,2045-01-01,0.95,Base
td_losses_adjustment,2046-01-01,0.95,Base
td_losses_adjustment,2047-01-01,0.95,Base
td_losses_adjustment,2048-01-01,0.95,Base
td_losses_adjustment,2049-01-01,0.95,Base
td_losses_adjustment,2050-01-01,0.95,Base
