attribute,timestamp,value,scenario
profile_model_years,,profiles/loads/zone_a_ev.csv,Base
scale_by_energy,,True,Base
annual_energy_forecast,2025-01-01,40000.0,Base
annual_energy_forecast,2026-01-01,60000.0,Base
annual_energy_forecast,2027-01-01,80000.0,Base
annual_energy_forecast,2028-01-01,41200.0,Base
annual_energy_forecast,2029-01-01,100000.0,Base
annual_energy_forecast,2030-01-01,120000.0,Base
annual_energy_forecast,2031-01-01,42400.0,Base
annual_energy_forecast,2032-01-01,140000.0,Base
annual_energy_forecast,2033-01-01,160000.0,Base
annual_energy_forecast,2034-01-01,43600.0,Base
annual_energy_forecast,2035-01-01,180000.0,Base
annual_energy_forecast,2036-01-01,200000.0,Base
annual_energy_forecast,2037-01-01,44800.0,Base
annual_energy_forecast,2038-01-01,220000.0,Base
annual_energy_forecast,2039-01-01,240000.0,Base
annual_energy_forecast,2040-01-01,46000.0,Base
annual_energy_forecast,2041-01-01,260000.0,Base
annual_energy_forecast,2042-01-01,280000.0,Base
annual_energy_forecast,2043-01-01,47200.0,Base
annual_energy_forecast,2044-01-01,300000.0,Base
annual_energy_forecast,2045-01-01,320000.0,Base
annual_energy_forecast,2046-01-01,48400.0,Base
annual_energy_forecast,2047-01-01,340000.0,Base
annual_energy_forecast,2048-01-01,360000.0,Base
annual_energy_forecast,2049-01-01,49600.0,Base
annual_energy_forecast,2050-01-01,380000.0,Base
scale_by_capacity,,False,Base
td_losses_adjustment,2025-01-01,1.0,Base
td_losses_adjustment,2026-01-01,1.0,Base
td_losses_adjustment,2027-01-01,1.0,Base
td_losses_adjustment,2028-01-01,1.0,Base
td_losses_adjustment,2029-01-01,1.0,Base
td_losses_adjustment,2030-01-01,1.0,Base
td_losses_adjustment,2031-01-01,1.0,Base
td_losses_adjustment,2032-01-01,1.0,Base
td_losses_adjustment,2033-01-01,1.0,Base
td_losses_adjustment,2034-01-01,1.0,Base
td_losses_adjustment,2035-01-01,1.0,Base
td_losses_adjustment,2036-01-01,1.0,Base
td_losses_adjustment,2037-01-01,1.0,Base
td_losses_adjustment,2038-01-01,1.0,Base
td_losses_adjustment,2039-01-01,1.0,Base
td_losses_adjustment,2040-01-01,1.0,Base
td_losses_adjustment,2041-01-01,1.0,Base
td_losses_adjustment,2042-01-01,1.0,Base
td_losses_adjustment,2043-01-01,1.0,Base
td_losses_adjustment,2044-01-01,1.0,Base
td_losses_adjustment,2045-01-01,1.0,Base
td_losses_adjustment,2046-01-01,1.0,Base
td_losses_adjustment,2047-01-01,1.0,Base
td_losses_adjustment,2048-01-01,1.0,Base
td_losses_adjustment,2049-01-01,1.0,Base
td_losses_adjustment,2050-01-01,1.0,Base
