attribute,timestamp,value,scenario
profile,,profiles/loads/zone_b_baseline.csv,Base
scale_by_energy,,True,Base
annual_energy_forecast,2025-01-01,2000000.0,Base
annual_energy_forecast,2026-01-01,2020000.0,Base
annual_energy_forecast,2027-01-01,2040000.0,Base
annual_energy_forecast,2028-01-01,2060000.0,Base
annual_energy_forecast,2029-01-01,2080000.0,Base
annual_energy_forecast,2030-01-01,2100000.0,Base
annual_energy_forecast,2031-01-01,2120000.0,Base
annual_energy_forecast,2032-01-01,2140000.0,Base
annual_energy_forecast,2033-01-01,2160000.0,Base
annual_energy_forecast,2034-01-01,2180000.0,Base
annual_energy_forecast,2035-01-01,2200000.0,Base
annual_energy_forecast,2036-01-01,2220000.0,Base
annual_energy_forecast,2037-01-01,2240000.0,Base
annual_energy_forecast,2038-01-01,2260000.0,Base
annual_energy_forecast,2039-01-01,2280000.0,Base
annual_energy_forecast,2040-01-01,2300000.0,Base
annual_energy_forecast,2041-01-01,2320000.0,Base
annual_energy_forecast,2042-01-01,2340000.0,Base
annual_energy_forecast,2043-01-01,2360000.0,Base
annual_energy_forecast,2044-01-01,2380000.0,Base
annual_energy_forecast,2045-01-01,2400000.0,Base
annual_energy_forecast,2046-01-01,2420000.0,Base
annual_energy_forecast,2047-01-01,2440000.0,Base
annual_energy_forecast,2048-01-01,2460000.0,Base
annual_energy_forecast,2049-01-01,2480000.0,Base
annual_energy_forecast,2050-01-01,2500000.0,Base
scale_by_capacity,,False,Base
td_losses_adjustment,2025-01-01,0.92,Base
td_losses_adjustment,2026-01-01,0.92,Base
td_losses_adjustment,2027-01-01,0.92,Base
td_losses_adjustment,2028-01-01,0.92,Base
td_losses_adjustment,2029-01-01,0.92,Base
td_losses_adjustment,2030-01-01,0.92,Base
td_losses_adjustment,2031-01-01,0.92,Base
td_losses_adjustment,2032-01-01,0.92,Base
td_losses_adjustment,2033-01-01,0.92,Base
td_losses_adjustment,2034-01-01,0.92,Base
td_losses_adjustment,2035-01-01,0.92,Base
td_losses_adjustment,2036-01-01,0.92,Base
td_losses_adjustment,2037-01-01,0.92,Base
td_losses_adjustment,2038-01-01,0.92,Base
td_losses_adjustment,2039-01-01,0.92,Base
td_losses_adjustment,2040-01-01,0.92,Base
td_losses_adjustment,2041-01-01,0.92,Base
td_losses_adjustment,2042-01-01,0.92,Base
td_losses_adjustment,2043-01-01,0.92,Base
td_losses_adjustment,2044-01-01,0.92,Base
td_losses_adjustment,2045-01-01,0.92,Base
td_losses_adjustment,2046-01-01,0.92,Base
td_losses_adjustment,2047-01-01,0.92,Base
td_losses_adjustment,2048-01-01,0.92,Base
td_losses_adjustment,2049-01-01,0.92,Base
td_losses_adjustment,2050-01-01,0.92,Base
