attribute,timestamp,value,scenario
target,2025-01-01,2000000.0,GHG
target,2026-01-01,1900000.0,GHG
target,2027-01-01,1800000.0,GHG
target,2028-01-01,1700000.0,GHG
target,2029-01-01,1600000.0,GHG
target,2030-01-01,1500000.0,GHG
target,2031-01-01,1400000.0,GHG
target,2032-01-01,1300000.0,GHG
target,2033-01-01,1200000.0,GHG
target,2034-01-01,1100000.0,GHG
target,2035-01-01,1000000.0,GHG
target,2036-01-01,900000.0,GHG
target,2037-01-01,800000.0,GHG
target,2038-01-01,700000.0,GHG
target,2039-01-01,600000.0,GHG
target,2040-01-01,500000.0,GHG
target,2041-01-01,400000.0,GHG
target,2042-01-01,300000.0,GHG
target,2043-01-01,200000.0,GHG
target,2044-01-01,100000.0,GHG
target,2045-01-01,0.0,GHG
target,2046-01-01,0.0,GHG
target,2047-01-01,0.0,GHG
target,2048-01-01,0.0,GHG
target,2049-01-01,0.0,GHG
target,2050-01-01,0.0,GHG
target_adjustment,2025-01-01,10000.0,GHG
target_adjustment,2026-01-01,10000.0,GHG
target_adjustment,2027-01-01,10000.0,GHG
target_adjustment,2028-01-01,10000.0,GHG
target_adjustment,2029-01-01,10000.0,GHG
target_adjustment,2030-01-01,10000.0,GHG
target_adjustment,2031-01-01,10000.0,GHG
target_adjustment,2032-01-01,10000.0,GHG
target_adjustment,2033-01-01,10000.0,GHG
target_adjustment,2034-01-01,10000.0,GHG
target_adjustment,2035-01-01,10000.0,GHG
target_adjustment,2036-01-01,10000.0,GHG
target_adjustment,2037-01-01,10000.0,GHG
target_adjustment,2038-01-01,10000.0,GHG
target_adjustment,2039-01-01,10000.0,GHG
target_adjustment,2040-01-01,10000.0,GHG
target_adjustment,2041-01-01,10000.0,GHG
target_adjustment,2042-01-01,10000.0,GHG
target_adjustment,2043-01-01,10000.0,GHG
target_adjustment,2044-01-01,10000.0,GHG
target_adjustment,2045-01-01,10000.0,GHG
target_adjustment,2046-01-01,10000.0,GHG
target_adjustment,2047-01-01,10000.0,GHG
target_adjustment,2048-01-01,10000.0,GHG
target_adjustment,2049-01-01,10000.0,GHG
target_adjustment,2050-01-01,10000.0,GHG
