attribute,timestamp,value,scenario
target_units,,absolute,PRM_Reliability
target,2025-01-01,1200.0,PRM_Reliability
target,2026-01-01,1250.0,PRM_Reliability
target,2027-01-01,1300.0,PRM_Reliability
target,2028-01-01,1350.0,PRM_Reliability
target,2029-01-01,1400.0,PRM_Reliability
target,2030-01-01,1450.0,PRM_Reliability
target,2031-01-01,1500.0,PRM_Reliability
target,2032-01-01,1550.0,PRM_Reliability
target,2033-01-01,1600.0,PRM_Reliability
target,2034-01-01,1650.0,PRM_Reliability
target,2035-01-01,1700.0,PRM_Reliability
target,2036-01-01,1750.0,PRM_Reliability
target,2037-01-01,1800.0,PRM_Reliability
target,2038-01-01,1850.0,PRM_Reliability
target,2039-01-01,1900.0,PRM_Reliability
target,2040-01-01,1950.0,PRM_Reliability
target,2041-01-01,2000.0,PRM_Reliability
target,2042-01-01,2050.0,PRM_Reliability
target,2043-01-01,2100.0,PRM_Reliability
target,2044-01-01,2150.0,PRM_Reliability
target,2045-01-01,2200.0,PRM_Reliability
target,2046-01-01,2250.0,PRM_Reliability
target,2047-01-01,2300.0,PRM_Reliability
target,2048-01-01,2350.0,PRM_Reliability
target,2049-01-01,2400.0,PRM_Reliability
target,2050-01-01,2450.0,PRM_Reliability
