attribute,timestamp,value,scenario
resource_type,,Generic,Base
can_retire,,False,Base
variable_cost_power_output,,1.25,Base
planned_capacity,2025-01-01,50.0,Base
planned_capacity,2026-01-01,50.0,Base
planned_capacity,2027-01-01,50.0,Base
planned_capacity,2028-01-01,50.0,Base
planned_capacity,2029-01-01,50.0,Base
planned_capacity,2030-01-01,50.0,Base
planned_capacity,2031-01-01,50.0,Base
planned_capacity,2032-01-01,50.0,Base
planned_capacity,2033-01-01,50.0,Base
planned_capacity,2034-01-01,50.0,Base
planned_capacity,2035-01-01,50.0,Base
planned_capacity,2036-01-01,50.0,Base
planned_capacity,2037-01-01,50.0,Base
planned_capacity,2038-01-01,50.0,Base
planned_capacity,2039-01-01,50.0,Base
planned_capacity,2040-01-01,50.0,Base
planned_capacity,2041-01-01,50.0,Base
planned_capacity,2042-01-01,50.0,Base
planned_capacity,2043-01-01,50.0,Base
planned_capacity,2044-01-01,50.0,Base
planned_capacity,2045-01-01,50.0,Base
planned_capacity,2046-01-01,50.0,Base
planned_capacity,2047-01-01,50.0,Base
planned_capacity,2048-01-01,50.0,Base
planned_capacity,2049-01-01,50.0,Base
planned_capacity,2050-01-01,50.0,Base
annualized_fixed_om_cost,2025-01-01,10.0,Base
annualized_fixed_om_cost,2026-01-01,10.0,Base
annualized_fixed_om_cost,2027-01-01,10.0,Base
annualized_fixed_om_cost,2028-01-01,10.0,Base
annualized_fixed_om_cost,2029-01-01,10.0,Base
annualized_fixed_om_cost,2030-01-01,10.0,Base
annualized_fixed_om_cost,2031-01-01,10.0,Base
annualized_fixed_om_cost,2032-01-01,10.0,Base
annualized_fixed_om_cost,2033-01-01,10.0,Base
annualized_fixed_om_cost,2034-01-01,10.0,Base
annualized_fixed_om_cost,2035-01-01,10.0,Base
annualized_fixed_om_cost,2036-01-01,10.0,Base
annualized_fixed_om_cost,2037-01-01,10.0,Base
annualized_fixed_om_cost,2038-01-01,10.0,Base
annualized_fixed_om_cost,2039-01-01,10.0,Base
annualized_fixed_om_cost,2040-01-01,10.0,Base
annualized_fixed_om_cost,2041-01-01,10.0,Base
annualized_fixed_om_cost,2042-01-01,10.0,Base
annualized_fixed_om_cost,2043-01-01,10.0,Base
annualized_fixed_om_cost,2044-01-01,10.0,Base
annualized_fixed_om_cost,2045-01-01,10.0,Base
annualized_fixed_om_cost,2046-01-01,10.0,Base
annualized_fixed_om_cost,2047-01-01,10.0,Base
annualized_fixed_om_cost,2048-01-01,10.0,Base
annualized_fixed_om_cost,2049-01-01,10.0,Base
annualized_fixed_om_cost,2050-01-01,10.0,Base
power_output_max__type,,Monthly,Base
power_output_max,1900-01-01,1.0,Base
power_output_max,1900-02-01,0.82,Base
power_output_max,1900-03-01,0.69,Base
power_output_max,1900-04-01,0.68,Base
power_output_max,1900-05-01,1.0,Base
power_output_max,1900-06-01,1.0,Base
power_output_max,1900-07-01,1.0,Base
power_output_max,1900-08-01,1.0,Base
power_output_max,1900-09-01,1.0,Base
power_output_max,1900-10-01,0.9,Base
power_output_max,1900-11-01,0.88,Base
power_output_max,1900-12-01,0.86,Base
power_output_min__type,,Monthly,Base
power_output_min,1900-01-01,0.54,Base
power_output_min,1900-02-01,0.54,Base
power_output_min,1900-03-01,0.54,Base
power_output_min,1900-04-01,0.45,Base
power_output_min,1900-05-01,0.53,Base
power_output_min,1900-06-01,0.53,Base
power_output_min,1900-07-01,0.53,Base
power_output_min,1900-08-01,0.53,Base
power_output_min,1900-09-01,0.53,Base
power_output_min,1900-10-01,0.53,Base
power_output_min,1900-11-01,0.54,Base
power_output_min,1900-12-01,0.54,Base
curtailable,,False,Base
allow_inter_period_sharing,,False,Base
