attribute,timestamp,value,scenario
resource_type,,Hydro,Base
can_retire,,False,Base
variable_cost_power_output,,0.0,Base
planned_capacity,2025-01-01,20.0,Base
planned_capacity,2026-01-01,20.0,Base
planned_capacity,2027-01-01,20.0,Base
planned_capacity,2028-01-01,20.0,Base
planned_capacity,2029-01-01,20.0,Base
planned_capacity,2030-01-01,20.0,Base
planned_capacity,2031-01-01,20.0,Base
planned_capacity,2032-01-01,20.0,Base
planned_capacity,2033-01-01,20.0,Base
planned_capacity,2034-01-01,20.0,Base
planned_capacity,2035-01-01,20.0,Base
planned_capacity,2036-01-01,20.0,Base
planned_capacity,2037-01-01,20.0,Base
planned_capacity,2038-01-01,20.0,Base
planned_capacity,2039-01-01,20.0,Base
planned_capacity,2040-01-01,20.0,Base
planned_capacity,2041-01-01,20.0,Base
planned_capacity,2042-01-01,20.0,Base
planned_capacity,2043-01-01,20.0,Base
planned_capacity,2044-01-01,20.0,Base
planned_capacity,2045-01-01,20.0,Base
planned_capacity,2046-01-01,20.0,Base
planned_capacity,2047-01-01,20.0,Base
planned_capacity,2048-01-01,20.0,Base
planned_capacity,2049-01-01,20.0,Base
planned_capacity,2050-01-01,20.0,Base
annualized_fixed_om_cost,2025-01-01,2.0,Base
annualized_fixed_om_cost,2026-01-01,2.0,Base
annualized_fixed_om_cost,2027-01-01,2.0,Base
annualized_fixed_om_cost,2028-01-01,2.0,Base
annualized_fixed_om_cost,2029-01-01,2.0,Base
annualized_fixed_om_cost,2030-01-01,2.0,Base
annualized_fixed_om_cost,2031-01-01,2.0,Base
annualized_fixed_om_cost,2032-01-01,2.0,Base
annualized_fixed_om_cost,2033-01-01,2.0,Base
annualized_fixed_om_cost,2034-01-01,2.0,Base
annualized_fixed_om_cost,2035-01-01,2.0,Base
annualized_fixed_om_cost,2036-01-01,2.0,Base
annualized_fixed_om_cost,2037-01-01,2.0,Base
annualized_fixed_om_cost,2038-01-01,2.0,Base
annualized_fixed_om_cost,2039-01-01,2.0,Base
annualized_fixed_om_cost,2040-01-01,2.0,Base
annualized_fixed_om_cost,2041-01-01,2.0,Base
annualized_fixed_om_cost,2042-01-01,2.0,Base
annualized_fixed_om_cost,2043-01-01,2.0,Base
annualized_fixed_om_cost,2044-01-01,2.0,Base
annualized_fixed_om_cost,2045-01-01,2.0,Base
annualized_fixed_om_cost,2046-01-01,2.0,Base
annualized_fixed_om_cost,2047-01-01,2.0,Base
annualized_fixed_om_cost,2048-01-01,2.0,Base
annualized_fixed_om_cost,2049-01-01,2.0,Base
annualized_fixed_om_cost,2050-01-01,2.0,Base
power_output_max__type,,Weather Year,Base
power_output_max,,profiles/resources/hydro-pmax.csv,Base
power_output_min__type,,Weather Year,Base
power_output_min,,profiles/resources/hydro-pmin.csv,Base
curtailable,,False,Base
energy_budget_daily,,profiles/resources/hydro-daily-budget.csv,Base
allow_inter_period_sharing,,False,Base
