attribute,timestamp,value,scenario
resource_type,,Shed DR,Base
can_retire,,False,Base
variable_cost_power_output,,0.0,Base
planned_capacity,2025-01-01,10.0,Base
planned_capacity,2026-01-01,10.0,Base
planned_capacity,2027-01-01,10.0,Base
planned_capacity,2028-01-01,10.0,Base
planned_capacity,2029-01-01,10.0,Base
planned_capacity,2030-01-01,10.0,Base
planned_capacity,2031-01-01,10.0,Base
planned_capacity,2032-01-01,10.0,Base
planned_capacity,2033-01-01,10.0,Base
planned_capacity,2034-01-01,10.0,Base
planned_capacity,2035-01-01,10.0,Base
planned_capacity,2036-01-01,10.0,Base
planned_capacity,2037-01-01,10.0,Base
planned_capacity,2038-01-01,10.0,Base
planned_capacity,2039-01-01,10.0,Base
planned_capacity,2040-01-01,10.0,Base
planned_capacity,2041-01-01,10.0,Base
planned_capacity,2042-01-01,10.0,Base
planned_capacity,2043-01-01,10.0,Base
planned_capacity,2044-01-01,10.0,Base
planned_capacity,2045-01-01,10.0,Base
planned_capacity,2046-01-01,10.0,Base
planned_capacity,2047-01-01,10.0,Base
planned_capacity,2048-01-01,10.0,Base
planned_capacity,2049-01-01,10.0,Base
planned_capacity,2050-01-01,10.0,Base
curtailable,,False,Base
unit_commitment_mode,,linear,Base
unit_size,,10.0,Base
min_down_time,,24.0,Base
min_up_time,,2.0,Base
max_annual_calls,,24.0,Base
max_daily_calls,,1.0,Base
max_call_duration,,4.0,Base
allow_inter_period_sharing,,False,Base
