attribute,timestamp,value,scenario
resource_type,,Thermal Unit Commitment,Base
aggregate_operations,,True,Base
can_build_new,,True,Base
can_retire,,False,Base
vintages_to_construct,2025-01-01,True,Base
vintages_to_construct,2026-01-01,True,Base
vintages_to_construct,2027-01-01,True,Base
vintages_to_construct,2028-01-01,True,Base
vintages_to_construct,2029-01-01,True,Base
vintages_to_construct,2030-01-01,True,Base
vintages_to_construct,2031-01-01,True,Base
vintages_to_construct,2032-01-01,True,Base
vintages_to_construct,2033-01-01,True,Base
vintages_to_construct,2034-01-01,True,Base
vintages_to_construct,2035-01-01,True,Base
vintages_to_construct,2036-01-01,True,Base
vintages_to_construct,2037-01-01,True,Base
vintages_to_construct,2038-01-01,True,Base
vintages_to_construct,2039-01-01,True,Base
vintages_to_construct,2040-01-01,True,Base
vintages_to_construct,2041-01-01,True,Base
vintages_to_construct,2042-01-01,True,Base
vintages_to_construct,2043-01-01,True,Base
vintages_to_construct,2044-01-01,True,Base
vintages_to_construct,2045-01-01,True,Base
vintages_to_construct,2046-01-01,True,Base
vintages_to_construct,2047-01-01,True,Base
vintages_to_construct,2048-01-01,True,Base
vintages_to_construct,2049-01-01,True,Base
vintages_to_construct,2050-01-01,True,Base
variable_cost_power_output,,1.0,Base
annualized_capital_cost,2025-01-01,190.0,Base
annualized_capital_cost,2026-01-01,190.0,Base
annualized_capital_cost,2027-01-01,190.0,Base
annualized_capital_cost,2028-01-01,190.0,Base
annualized_capital_cost,2029-01-01,190.0,Base
annualized_capital_cost,2030-01-01,190.0,Base
annualized_capital_cost,2031-01-01,190.0,Base
annualized_capital_cost,2032-01-01,190.0,Base
annualized_capital_cost,2033-01-01,190.0,Base
annualized_capital_cost,2034-01-01,190.0,Base
annualized_capital_cost,2035-01-01,190.0,Base
annualized_capital_cost,2036-01-01,190.0,Base
annualized_capital_cost,2037-01-01,190.0,Base
annualized_capital_cost,2038-01-01,190.0,Base
annualized_capital_cost,2039-01-01,190.0,Base
annualized_capital_cost,2040-01-01,190.0,Base
annualized_capital_cost,2041-01-01,190.0,Base
annualized_capital_cost,2042-01-01,190.0,Base
annualized_capital_cost,2043-01-01,190.0,Base
annualized_capital_cost,2044-01-01,190.0,Base
annualized_capital_cost,2045-01-01,190.0,Base
annualized_capital_cost,2046-01-01,190.0,Base
annualized_capital_cost,2047-01-01,190.0,Base
annualized_capital_cost,2048-01-01,190.0,Base
annualized_capital_cost,2049-01-01,190.0,Base
annualized_capital_cost,2050-01-01,190.0,Base
annualized_fixed_om_cost,2025-01-01,10.0,Base
annualized_fixed_om_cost,2026-01-01,10.0,Base
annualized_fixed_om_cost,2027-01-01,10.0,Base
annualized_fixed_om_cost,2028-01-01,10.0,Base
annualized_fixed_om_cost,2029-01-01,10.0,Base
annualized_fixed_om_cost,2030-01-01,10.0,Base
annualized_fixed_om_cost,2031-01-01,10.0,Base
annualized_fixed_om_cost,2032-01-01,10.0,Base
annualized_fixed_om_cost,2033-01-01,10.0,Base
annualized_fixed_om_cost,2034-01-01,10.0,Base
annualized_fixed_om_cost,2035-01-01,10.0,Base
annualized_fixed_om_cost,2036-01-01,10.0,Base
annualized_fixed_om_cost,2037-01-01,10.0,Base
annualized_fixed_om_cost,2038-01-01,10.0,Base
annualized_fixed_om_cost,2039-01-01,10.0,Base
annualized_fixed_om_cost,2040-01-01,10.0,Base
annualized_fixed_om_cost,2041-01-01,10.0,Base
annualized_fixed_om_cost,2042-01-01,10.0,Base
annualized_fixed_om_cost,2043-01-01,10.0,Base
annualized_fixed_om_cost,2044-01-01,10.0,Base
annualized_fixed_om_cost,2045-01-01,10.0,Base
annualized_fixed_om_cost,2046-01-01,10.0,Base
annualized_fixed_om_cost,2047-01-01,10.0,Base
annualized_fixed_om_cost,2048-01-01,10.0,Base
annualized_fixed_om_cost,2049-01-01,10.0,Base
annualized_fixed_om_cost,2050-01-01,10.0,Base
power_output_max__type,,Monthly,Base
power_output_max,1900-01-01,0.64,Base
power_output_max,1900-02-01,0.68,Base
power_output_max,1900-03-01,0.88,Base
power_output_max,1900-04-01,1.0,Base
power_output_max,1900-05-01,1.0,Base
power_output_max,1900-06-01,1.0,Base
power_output_max,1900-07-01,1.0,Base
power_output_max,1900-08-01,1.0,Base
power_output_max,1900-09-01,1.0,Base
power_output_max,1900-10-01,0.97,Base
power_output_max,1900-11-01,0.69,Base
power_output_max,1900-12-01,0.81,Base
curtailable,,False,Base
fuel_burn_slope,,6.0,Base
fuel_burn_intercept,,300.0,Base
unit_commitment_mode,,linear,Base
unit_size,,250.0,Base
min_stable_level,,0.35,Base
min_down_time,,1.0,Base
min_up_time,,2.0,Base
start_cost,,50000.0,Base
shutdown_cost,,5000.0,Base
start_fuel_use,,4000.0,Base
ramp_rate_1_hour,,2.5,Base
allow_inter_period_sharing,,False,Base
