attribute,timestamp,value,scenario
resource_type,,Hybrid Storage,Base
aggregate_operations,,True,Base
can_build_new,,True,Base
can_retire,,False,Base
vintages_to_construct,2025-01-01,True,Base
vintages_to_construct,2026-01-01,True,Base
vintages_to_construct,2027-01-01,True,Base
vintages_to_construct,2028-01-01,True,Base
vintages_to_construct,2029-01-01,True,Base
vintages_to_construct,2030-01-01,True,Base
vintages_to_construct,2031-01-01,True,Base
vintages_to_construct,2032-01-01,True,Base
vintages_to_construct,2033-01-01,True,Base
vintages_to_construct,2034-01-01,True,Base
vintages_to_construct,2035-01-01,True,Base
vintages_to_construct,2036-01-01,True,Base
vintages_to_construct,2037-01-01,True,Base
vintages_to_construct,2038-01-01,True,Base
vintages_to_construct,2039-01-01,True,Base
vintages_to_construct,2040-01-01,False,Base
vintages_to_construct,2041-01-01,True,Base
vintages_to_construct,2042-01-01,True,Base
vintages_to_construct,2043-01-01,True,Base
vintages_to_construct,2044-01-01,True,Base
vintages_to_construct,2045-01-01,False,Base
vintages_to_construct,2046-01-01,True,Base
vintages_to_construct,2047-01-01,True,Base
vintages_to_construct,2048-01-01,True,Base
vintages_to_construct,2049-01-01,True,Base
vintages_to_construct,2050-01-01,False,Base
variable_cost_power_output,,0.0,Base
annualized_capital_cost,2025-01-01,150.0,Base
annualized_capital_cost,2026-01-01,149.0,Base
annualized_capital_cost,2027-01-01,148.0,Base
annualized_capital_cost,2028-01-01,147.0,Base
annualized_capital_cost,2029-01-01,146.0,Base
annualized_capital_cost,2030-01-01,144.0,Base
annualized_capital_cost,2031-01-01,142.0,Base
annualized_capital_cost,2032-01-01,140.0,Base
annualized_capital_cost,2033-01-01,138.0,Base
annualized_capital_cost,2034-01-01,136.0,Base
annualized_capital_cost,2035-01-01,134.0,Base
annualized_capital_cost,2036-01-01,132.0,Base
annualized_capital_cost,2037-01-01,130.0,Base
annualized_capital_cost,2038-01-01,128.0,Base
annualized_capital_cost,2039-01-01,126.0,Base
annualized_capital_cost,2040-01-01,124.0,Base
annualized_capital_cost,2041-01-01,122.0,Base
annualized_capital_cost,2042-01-01,120.0,Base
annualized_capital_cost,2043-01-01,118.0,Base
annualized_capital_cost,2044-01-01,116.0,Base
annualized_capital_cost,2045-01-01,114.0,Base
annualized_capital_cost,2046-01-01,112.0,Base
annualized_capital_cost,2047-01-01,110.0,Base
annualized_capital_cost,2048-01-01,108.0,Base
annualized_capital_cost,2049-01-01,106.0,Base
annualized_capital_cost,2050-01-01,104.0,Base
curtailable,,False,Base
charging_efficiency,,0.9,Base
discharging_efficiency,,0.9,Base
duration,,1.0,Base
duration_constraint,,minimum,Base
allow_inter_period_sharing,,False,Base
