attribute,timestamp,value,scenario
resource_type,,Solar,Base
aggregate_operations,,True,Base
can_build_new,,True,Base
can_retire,,False,Base
vintages_to_construct,2025-01-01,True,Base
vintages_to_construct,2026-01-01,True,Base
vintages_to_construct,2027-01-01,True,Base
vintages_to_construct,2028-01-01,True,Base
vintages_to_construct,2029-01-01,True,Base
vintages_to_construct,2030-01-01,True,Base
vintages_to_construct,2031-01-01,True,Base
vintages_to_construct,2032-01-01,True,Base
vintages_to_construct,2033-01-01,True,Base
vintages_to_construct,2034-01-01,True,Base
vintages_to_construct,2035-01-01,True,Base
vintages_to_construct,2036-01-01,True,Base
vintages_to_construct,2037-01-01,True,Base
vintages_to_construct,2038-01-01,True,Base
vintages_to_construct,2039-01-01,True,Base
vintages_to_construct,2040-01-01,True,Base
vintages_to_construct,2041-01-01,True,Base
vintages_to_construct,2042-01-01,True,Base
vintages_to_construct,2043-01-01,True,Base
vintages_to_construct,2044-01-01,True,Base
vintages_to_construct,2045-01-01,True,Base
vintages_to_construct,2046-01-01,True,Base
vintages_to_construct,2047-01-01,True,Base
vintages_to_construct,2048-01-01,True,Base
vintages_to_construct,2049-01-01,True,Base
vintages_to_construct,2050-01-01,True,Base
variable_cost_power_output,,0.0,Base
annualized_capital_cost,2025-01-01,120.0,Base
annualized_capital_cost,2026-01-01,118.0,Base
annualized_capital_cost,2027-01-01,116.0,Base
annualized_capital_cost,2028-01-01,114.0,Base
annualized_capital_cost,2029-01-01,112.0,Base
annualized_capital_cost,2030-01-01,110.0,Base
annualized_capital_cost,2031-01-01,108.0,Base
annualized_capital_cost,2032-01-01,106.0,Base
annualized_capital_cost,2033-01-01,104.0,Base
annualized_capital_cost,2034-01-01,102.0,Base
annualized_capital_cost,2035-01-01,100.0,Base
annualized_capital_cost,2036-01-01,98.0,Base
annualized_capital_cost,2037-01-01,96.0,Base
annualized_capital_cost,2038-01-01,94.0,Base
annualized_capital_cost,2039-01-01,92.0,Base
annualized_capital_cost,2040-01-01,90.0,Base
annualized_capital_cost,2041-01-01,88.0,Base
annualized_capital_cost,2042-01-01,86.0,Base
annualized_capital_cost,2043-01-01,84.0,Base
annualized_capital_cost,2044-01-01,82.0,Base
annualized_capital_cost,2045-01-01,80.0,Base
annualized_capital_cost,2046-01-01,78.0,Base
annualized_capital_cost,2047-01-01,76.0,Base
annualized_capital_cost,2048-01-01,74.0,Base
annualized_capital_cost,2049-01-01,72.0,Base
annualized_capital_cost,2050-01-01,70.0,Base
power_output_max__type,,Weather Year,Base
power_output_max,,profiles/resources/solar.csv,Base
curtailable,,True,Base
curtailment_cost,,0.0,Base
allow_inter_period_sharing,,False,Base
