attribute,timestamp,value,scenario
resource_type,,Storage,Base
aggregate_operations,,True,Base
can_build_new,,True,Base
can_retire,,False,Base
vintages_to_construct,2025-01-01,True,Base
vintages_to_construct,2026-01-01,True,Base
vintages_to_construct,2027-01-01,True,Base
vintages_to_construct,2028-01-01,True,Base
vintages_to_construct,2029-01-01,True,Base
vintages_to_construct,2030-01-01,True,Base
vintages_to_construct,2031-01-01,True,Base
vintages_to_construct,2032-01-01,True,Base
vintages_to_construct,2033-01-01,True,Base
vintages_to_construct,2034-01-01,True,Base
vintages_to_construct,2035-01-01,True,Base
vintages_to_construct,2036-01-01,True,Base
vintages_to_construct,2037-01-01,True,Base
vintages_to_construct,2038-01-01,True,Base
vintages_to_construct,2039-01-01,True,Base
vintages_to_construct,2040-01-01,True,Base
vintages_to_construct,2041-01-01,True,Base
vintages_to_construct,2042-01-01,True,Base
vintages_to_construct,2043-01-01,True,Base
vintages_to_construct,2044-01-01,True,Base
vintages_to_construct,2045-01-01,True,Base
vintages_to_construct,2046-01-01,True,Base
vintages_to_construct,2047-01-01,True,Base
vintages_to_construct,2048-01-01,True,Base
vintages_to_construct,2049-01-01,True,Base
vintages_to_construct,2050-01-01,True,Base
variable_cost_power_output,,0,Base
annualized_capital_cost,2025-01-01,50,Base
annualized_capital_cost,2026-01-01,49,Base
annualized_capital_cost,2027-01-01,48,Base
annualized_capital_cost,2028-01-01,47,Base
annualized_capital_cost,2029-01-01,46,Base
annualized_capital_cost,2030-01-01,45,Base
annualized_capital_cost,2031-01-01,44,Base
annualized_capital_cost,2032-01-01,43,Base
annualized_capital_cost,2033-01-01,42,Base
annualized_capital_cost,2034-01-01,41,Base
annualized_capital_cost,2035-01-01,40,Base
annualized_capital_cost,2036-01-01,39,Base
annualized_capital_cost,2037-01-01,38,Base
annualized_capital_cost,2038-01-01,37,Base
annualized_capital_cost,2039-01-01,36,Base
annualized_capital_cost,2040-01-01,35,Base
annualized_capital_cost,2041-01-01,34,Base
annualized_capital_cost,2042-01-01,33,Base
annualized_capital_cost,2043-01-01,32,Base
annualized_capital_cost,2044-01-01,31,Base
annualized_capital_cost,2045-01-01,30,Base
annualized_capital_cost,2046-01-01,29,Base
annualized_capital_cost,2047-01-01,28,Base
annualized_capital_cost,2048-01-01,27,Base
annualized_capital_cost,2049-01-01,26,Base
annualized_capital_cost,2050-01-01,25,Base
annualized_storage_capital_cost,2025-01-01,25,Base
annualized_storage_capital_cost,2026-01-01,25,Base
annualized_storage_capital_cost,2027-01-01,25,Base
annualized_storage_capital_cost,2028-01-01,25,Base
annualized_storage_capital_cost,2029-01-01,25,Base
annualized_storage_capital_cost,2030-01-01,25,Base
annualized_storage_capital_cost,2031-01-01,25,Base
annualized_storage_capital_cost,2032-01-01,25,Base
annualized_storage_capital_cost,2033-01-01,25,Base
annualized_storage_capital_cost,2034-01-01,25,Base
annualized_storage_capital_cost,2035-01-01,25,Base
annualized_storage_capital_cost,2036-01-01,25,Base
annualized_storage_capital_cost,2037-01-01,25,Base
annualized_storage_capital_cost,2038-01-01,25,Base
annualized_storage_capital_cost,2039-01-01,25,Base
annualized_storage_capital_cost,2040-01-01,25,Base
annualized_storage_capital_cost,2041-01-01,25,Base
annualized_storage_capital_cost,2042-01-01,25,Base
annualized_storage_capital_cost,2043-01-01,25,Base
annualized_storage_capital_cost,2044-01-01,25,Base
annualized_storage_capital_cost,2045-01-01,25,Base
annualized_storage_capital_cost,2046-01-01,25,Base
annualized_storage_capital_cost,2047-01-01,25,Base
annualized_storage_capital_cost,2048-01-01,25,Base
annualized_storage_capital_cost,2049-01-01,25,Base
annualized_storage_capital_cost,2050-01-01,25,Base
curtailable,,False,Base
charging_efficiency,,0.92,Base
discharging_efficiency,,0.92,Base
duration,,4.0,Base
duration_constraint,,fixed,Base
allow_inter_period_sharing,,False,Base
