attribute,timestamp,value,scenario
resource_type,,Wind,Base
aggregate_operations,,True,Base
can_build_new,,True,Base
can_retire,,False,Base
vintages_to_construct,2025-01-01,False,Base
vintages_to_construct,2026-01-01,True,Base
vintages_to_construct,2027-01-01,True,Base
vintages_to_construct,2028-01-01,True,Base
vintages_to_construct,2029-01-01,True,Base
vintages_to_construct,2030-01-01,False,Base
vintages_to_construct,2031-01-01,True,Base
vintages_to_construct,2032-01-01,True,Base
vintages_to_construct,2033-01-01,True,Base
vintages_to_construct,2034-01-01,True,Base
vintages_to_construct,2035-01-01,True,Base
vintages_to_construct,2036-01-01,True,Base
vintages_to_construct,2037-01-01,True,Base
vintages_to_construct,2038-01-01,True,Base
vintages_to_construct,2039-01-01,True,Base
vintages_to_construct,2040-01-01,True,Base
vintages_to_construct,2041-01-01,True,Base
vintages_to_construct,2042-01-01,True,Base
vintages_to_construct,2043-01-01,True,Base
vintages_to_construct,2044-01-01,True,Base
vintages_to_construct,2045-01-01,True,Base
vintages_to_construct,2046-01-01,True,Base
vintages_to_construct,2047-01-01,True,Base
vintages_to_construct,2048-01-01,True,Base
vintages_to_construct,2049-01-01,True,Base
vintages_to_construct,2050-01-01,True,Base
variable_cost_power_output,,0.0,Base
annualized_capital_cost,2025-01-01,130.0,Base
annualized_capital_cost,2026-01-01,129.0,Base
annualized_capital_cost,2027-01-01,128.0,Base
annualized_capital_cost,2028-01-01,127.0,Base
annualized_capital_cost,2029-01-01,126.0,Base
annualized_capital_cost,2030-01-01,125.0,Base
annualized_capital_cost,2031-01-01,123.0,Base
annualized_capital_cost,2032-01-01,121.0,Base
annualized_capital_cost,2033-01-01,119.0,Base
annualized_capital_cost,2034-01-01,117.0,Base
annualized_capital_cost,2035-01-01,115.0,Base
annualized_capital_cost,2036-01-01,113.0,Base
annualized_capital_cost,2037-01-01,111.0,Base
annualized_capital_cost,2038-01-01,109.0,Base
annualized_capital_cost,2039-01-01,107.0,Base
annualized_capital_cost,2040-01-01,105.0,Base
annualized_capital_cost,2041-01-01,104.0,Base
annualized_capital_cost,2042-01-01,103.0,Base
annualized_capital_cost,2043-01-01,102.0,Base
annualized_capital_cost,2044-01-01,101.0,Base
annualized_capital_cost,2045-01-01,100.0,Base
annualized_capital_cost,2046-01-01,99.0,Base
annualized_capital_cost,2047-01-01,98.0,Base
annualized_capital_cost,2048-01-01,97.0,Base
annualized_capital_cost,2049-01-01,96.0,Base
annualized_capital_cost,2050-01-01,95.0,Base
power_output_max__type,,Weather Year,Base
power_output_max,,profiles/resources/wind.csv,Base
curtailable,,True,Base
curtailment_cost,,0.0,Base
allow_inter_period_sharing,,False,Base
