attribute,timestamp,value,scenario
planned_capacity,2025-01-01,200.0,Base
planned_capacity,2026-01-01,200.0,Base
planned_capacity,2027-01-01,200.0,Base
planned_capacity,2028-01-01,200.0,Base
planned_capacity,2029-01-01,200.0,Base
planned_capacity,2030-01-01,200.0,Base
planned_capacity,2031-01-01,200.0,Base
planned_capacity,2032-01-01,200.0,Base
planned_capacity,2033-01-01,200.0,Base
planned_capacity,2034-01-01,200.0,Base
planned_capacity,2035-01-01,200.0,Base
planned_capacity,2036-01-01,200.0,Base
planned_capacity,2037-01-01,200.0,Base
planned_capacity,2038-01-01,200.0,Base
planned_capacity,2039-01-01,200.0,Base
planned_capacity,2040-01-01,200.0,Base
planned_capacity,2041-01-01,200.0,Base
planned_capacity,2042-01-01,200.0,Base
planned_capacity,2043-01-01,200.0,Base
planned_capacity,2044-01-01,200.0,Base
planned_capacity,2045-01-01,200.0,Base
planned_capacity,2046-01-01,200.0,Base
planned_capacity,2047-01-01,200.0,Base
planned_capacity,2048-01-01,200.0,Base
planned_capacity,2049-01-01,200.0,Base
planned_capacity,2050-01-01,200.0,Base
can_retire,,False,Base
forward_rating_profile,,1.0,Base
reverse_rating_profile,,0.9,Base
hurdle_rate_forward_direction,2025-01-01,5.0,Base
hurdle_rate_forward_direction,2026-01-01,5.0,Base
hurdle_rate_forward_direction,2027-01-01,5.0,Base
hurdle_rate_forward_direction,2028-01-01,5.0,Base
hurdle_rate_forward_direction,2029-01-01,5.0,Base
hurdle_rate_forward_direction,2030-01-01,5.0,Base
hurdle_rate_forward_direction,2031-01-01,5.0,Base
hurdle_rate_forward_direction,2032-01-01,5.0,Base
hurdle_rate_forward_direction,2033-01-01,5.0,Base
hurdle_rate_forward_direction,2034-01-01,5.0,Base
hurdle_rate_forward_direction,2035-01-01,5.0,Base
hurdle_rate_forward_direction,2036-01-01,5.0,Base
hurdle_rate_forward_direction,2037-01-01,5.0,Base
hurdle_rate_forward_direction,2038-01-01,5.0,Base
hurdle_rate_forward_direction,2039-01-01,5.0,Base
hurdle_rate_forward_direction,2040-01-01,5.0,Base
hurdle_rate_forward_direction,2041-01-01,5.0,Base
hurdle_rate_forward_direction,2042-01-01,5.0,Base
hurdle_rate_forward_direction,2043-01-01,5.0,Base
hurdle_rate_forward_direction,2044-01-01,5.0,Base
hurdle_rate_forward_direction,2045-01-01,5.0,Base
hurdle_rate_forward_direction,2046-01-01,5.0,Base
hurdle_rate_forward_direction,2047-01-01,5.0,Base
hurdle_rate_forward_direction,2048-01-01,5.0,Base
hurdle_rate_forward_direction,2049-01-01,5.0,Base
hurdle_rate_forward_direction,2050-01-01,5.0,Base
